,meshid,name
785,unknown,inbred_balb_c
786,A15.382.490.555.567.569.500.400.905,th2_cells
787,F01.145,behavior
788,G07.180.562.190,circadian_rhythm
789,C23.888.369,fatigue
790,A08.713.733,pineal_gland
791,G11.561.803,sleep
792,G11.561.035.738,wakefulness
793,C03.752.530,malaria
794,unknown,cerebral
795,C23.550.470.790.500.580,parasitemia
796,D02.654.846,reactive_nitrogen_species
797,N06.850.520.450.500.750.825,retrospective_studies
798,C23.300.775.750,splenomegaly
799,unknown,active_transport
800,A11.284.430.214.190.875.117,cell_nucleus
801,C06.405.469.860.180,colorectal_neoplasms
802,G05.206,dna_methylation
803,E05.393.620.500,polymerase_chain_reaction
804,D02.092,amines
805,unknown,organic
806,G03.059.538,methylation
807,D03.383.773,pyrrolidines
808,G01.358.500.249.820,static_electricity
809,G02.607.445.682,stereoisomerism
810,D08.811.277.352.650.025,acid_phosphatase
811,A15.378.316,bone_marrow_cells
812,G04.152,cell_differentiation
813,D12.776.306,eye_proteins
814,D12.776.930.608,nfatc_transcription_factors
815,A11.627.482.700,osteoclasts
816,D12.776.930.700.813,pax6_transcription_factor
817,D23.529.374.750.562,rank_ligand
818,D08.811.277.352.650.625.862,tartrate-resistant_acid_phosphatase
819,B03.440.450.019.025,aeromonas
820,D08.811.277.450.066,amylases
821,B03.510.460.410.158.218,bacillus
822,G07.345.249.314.120,body_weight
823,B01.050.150.900.493.080,catfishes
824,unknown,growth_&_development
825,G15.630.250,disease_resistance
826,G09.188.105.330,erythrocyte_count
827,C22.362,fish_diseases
828,N06.230.124.049.100.500.250,gastrointestinal_microbiome
829,C01.252.400,gram-negative_bacterial_infections
830,unknown,veterinary
831,D08.811.277.352.100.400,lipase
832,D23.529.942.300.925,myostatin
833,D08.811.277.656,peptide_hydrolases
834,D23.529.850.887,pituitary_adenylate_cyclase-activating_polypeptide
835,J02.500.456.500,probiotics
836,N06.850.505.400.400,family_characteristics
837,J02.500,food
838,J02.500.562,fruit
839,Z01.058.290.190.320,ghana
840,J03.832,schools
841,N06.230.300.100.250.525,seasons
842,J02.500.850,vegetables
843,D08.811.682.660.465,3-oxo-5-alpha-steroid_4-dehydrogenase
844,D06.472.334.851.968.500,"androstane-3,17-diol"
845,D06.472.334.851.968.964,dihydrotestosterone
846,C19.391.119,disorders_of_sex_development
847,L01.906.394.211,feedback
848,D12.644.548.691.525.343.288,follicle_stimulating_hormone
849,D12.644.548.691.525.343.463,luteinizing_hormone
850,D06.472.334.851.968.984,testosterone
851,unknown,pair_11
852,unknown,pair_16
853,E05.601.470.350,immunoenzyme_techniques
854,E05.393.285.475,karyotyping
855,C04.557.450.550.400,lipoma
856,G05.728.385.500,oncogene_fusion
857,G05.360.340.024.340.137.650,open_reading_frames
858,A11.284.430.214.190.875.248,endoplasmic_reticulum
859,A15.382,immune_system
860,D12.776.543.100,bacterial_outer_membrane_proteins
861,G12.450.564.204,blood_bactericidal_activity
862,D23.119.490,fibrinogen
863,G12.688,phagocytosis
864,B03.510.550.737.872.575,streptococcus_pyogenes
865,J01.040.246,dairying
866,unknown,mononuclear
867,D10.440,lipid_peroxides
868,G08.686.702,postpartum_period
869,D12.776.331.971,thioredoxin-disulfide_reductase
870,D01.552.544.195,copper
871,D12.125.072.050.875.130,dihydroxyphenylalanine
872,E05.196.867.519.274,electron_spin_resonance_spectroscopy
873,D27.505.519.389,enzyme_inhibitors
874,C14.280.434,heart_failure
875,D03.633.100.473.412,indolequinones
876,C06.552.630,liver_cirrhosis
877,D12.125.142.497,lysine
878,C18.452.648.618.590,menkes_kinky_hair_syndrome
879,D12.776.556,metalloproteins
880,D08.811.682.690.708,mixed_function_oxygenases
881,D08.811.682.662,oxidoreductases_acting_on_ch-nh_group_donors
882,D08.211.682,pqq_cofactor
883,D08.811.682.664.500.848,protein-lysine_6-oxidase
884,D03.633.100.810.835,quinolones
885,D02.806,quinones
886,D02.845,semicarbazides
887,E05.196.867,spectrum_analysis
888,unknown,raman
889,D12.125.142.875,tryptophan
890,A15.382.490.555.567.562,b-lymphocytes
891,G05.344,gene_rearrangement
892,unknown,immunoglobulin
893,A15.382.520.604.412.500,germinal_center
894,D10.570.938.208,cholesterol
895,D12.776.422.220.453.915.200,cholesterol_7-alpha-hydroxylase
896,D12.776.422.220.453.915,steroid_hydroxylases
897,D12.776.422.220.453.915.880,sterol_14-demethylase
898,D09.811.100,ascorbic_acid
899,D02.241.081.901.434,citrates
900,D12.125.166.230,cysteine
901,A12.200.307,gastric_juice
902,D09.698.373,glycosaminoglycans
903,A10.615.550.444,intestinal_mucosa
904,A03.556.875.875,stomach
905,D02.092.211.111,acetylcholine
906,unknown,thoracic
907,D23.529.400,endothelins
908,A10.272.491,endothelium
909,unknown,vascular
910,D02.092.311.830,norepinephrine
911,D23.469.050.175.725.025.650.500,prostaglandin_h2
912,D23.469.050.175.725.025.650,prostaglandins_h
913,N06.850.520.445.700,random_allocation
914,unknown,inbred_wky
915,unknown,prostaglandin
916,unknown,thromboxane
917,D10.251.355.310.166.971.800,thromboxane_a2
918,G09.330.380.928,vasodilation
919,D09.947.875.359.448.500,blood_glucose
920,D27.505.954.411.192,calcium_channel_blockers
921,D03.383.129.308.207,creatinine
922,D03.633.100.079.150,diltiazem
923,N06.850.520.450.500.750.350,follow-up_studies
924,D09.408.051.900,streptozocin
925,N05.715.360.575.575.800,treatment_outcome
926,A09.246,ear
927,unknown,inner
928,unknown,abnormalities
929,G01.750.750.400,gamma_rays
930,G05.365.590,mutation
931,A08.612.220.640,olfactory_pathways
932,D13.695.578.424,oligonucleotides
933,unknown,antisense
934,D12.776.930.700.750,pax2_transcription_factor
935,D12.776.930.700.906,pax8_transcription_factor
936,B01.050.150.900.493.200.244.828,zebrafish
937,D12.776.325.500,zebrafish_proteins
938,G01.358.500.750,electrons
939,D12.776.532.265,green_fluorescent_proteins
940,D12.776.532,luminescent_proteins
941,D12.125.166.676,methionine
942,D12.644,peptides
943,G02.111.688,protein_folding
944,B01.050.500.308.237.750,sea_anemones
945,unknown,spectrometry
946,unknown,mass
947,unknown,matrix-assisted_laser_desorption-ionization
948,D01.552.544.322,gold
949,unknown,transmission
950,J01.637.512.850,nanotubes
951,E02.774.722,photochemotherapy
952,D01.650.775,reactive_oxygen_species
953,D01.339.431.500,singlet_oxygen
954,G05.297.670,protein_biosynthesis
955,A11.284.430.214.190.875.811,ribosomes
956,C23.550.291.625,critical_illness
957,D23.529.374.410.240.150,erythropoietin
958,G09.330.380,hemodynamics
959,C23.888.852.567,hyperoxia
960,G09.330.100.645,microcirculation
961,unknown,video
962,N06.850.520.450.720,pilot_projects
963,N06.850.520.450.500.750.650,prospective_studies
964,unknown,spectroscopy
965,unknown,near-infrared
966,B04.123.205,coliphages
967,G05.226,dna_replication
968,D08.811.277.352.355.325.300,dna_restriction_enzymes
969,G05.360.600.300,f_factor
970,D12.776.835.725,peptide_initiation_factors
971,D02.455.849.765.033,abscisic_acid
972,B01.650.940.800.575.912.250.583.040.522,avicennia
973,D27.888.284,environmental_pollutants
974,unknown,heavy
975,D01.786,salts
976,unknown,physiological
977,G05.308.320.200,enzyme_induction
978,C23.550.470,inflammation
979,D23.529.374.465.510,interleukin-10
980,D23.529.374.465.312,interleukin-8
981,unknown,monoclonal
982,D12.776.835.725.868.500.500,eukaryotic_initiation_factor-4a
983,G05.360.340.024.340.137.232,exons
984,D12.776.543.585.750,nucleocytoplasmic_transport_proteins
985,D08.811,enzymes
986,D08.811.277.352.700.350.500,micrococcal_nuclease
987,G01.482,motion
988,D08.811.913.696.620.225.850,phosphofructokinases
989,D08.811.277.352.700.350.725,ribonuclease_t1
990,D12.125.065,amino_acid_chloromethyl_ketones
991,D12.776.476.100,calcium-calmodulin-dependent_protein_kinases
992,D27.505.519.389.745.325,cysteine_proteinase_inhibitors
993,G03.328,enzyme_activation
994,D23.529.374.480.372,interleukin-2
995,D10.251.355.391,ionomycin
996,D27.720.395,ionophores
997,D12.776.476.450.340,jnk_mitogen-activated_protein_kinases
998,A15.382.490.555.567.569.440,jurkat_cells
999,D12.776.476.440.400,map_kinase_kinase_4
1000,D12.776.476.440,mitogen-activated_protein_kinase_kinases
1001,D12.776.476.450,mitogen-activated_protein_kinases
1002,D12.776.930.127.820,proto-oncogene_proteins_c-jun
1003,D02.455.849.291.500.510.850,tetradecanoylphorbol_acetate
1004,D12.776.543.750.705.852.760.195,fas_receptor
1005,D13.695.827.426,guanine_nucleotides
1006,D01.268.380.400,iodine
1007,D12.776.556.579.374.375,iron-sulfur_proteins
1008,D08.811.682.655.500.124,nitrate_reductase
1009,D08.811.682.655.500,nitrate_reductases
1010,A11.284.295.680,periplasm
1011,D03.633.100.733,pteridines
1012,D23.767.831,pterins
1013,B03.660.050.750.700.700,rhodobacter_sphaeroides
1014,D08.811.682.047.892,xanthine_dehydrogenase
1015,D08.811.913.555.500.100,acetylserotonin_o-methyltransferase
1016,D08.811.913.050.134.138,arylamine_n-acetyltransferase
1017,D13.695.827.068.395.250,bucladesine
1018,D10.251.400.143,butyrates
1019,D10.251.400.143.500,butyric_acid
1020,D12.776.624,neoplasm_proteins
1021,D04.210.500.105,bile_acids_and_salts
1022,D04.210.500.221.430.342,deoxycholic_acid
1023,D10.570.755.375.760.550.550,lysophosphatidylcholines
1024,D26.255.560,micelles
1025,D10.570.755.375.760.400.800,phosphatidylcholines
1026,G02.860,surface_properties
1027,B01.650.940.800.575.912.250.583.520.098,callicarpa
1028,D02.455.849.291,diterpenes
1029,unknown,abietane
1030,A18.024.812,plant_leaves
1031,J01.637.051.130,biocompatible_materials
1032,E02.319.300.380,drug_carriers
1033,G04.417,endocytosis
1034,A11.251.860.180.380,hct116_cells
1035,G12.122.545,hemolysis
1036,D23.050.301.350.625.144,hyaluronan_receptors
1037,D03.633.100.759.534,mercaptopurine
1038,A11.329.228.100.550,nih_3t3_cells
1039,J01.637.512.600,nanoparticles
1040,D09.698.629,oligosaccharides
1041,G01.374.710,porosity
1042,unknown,bovine
1043,D01.837.725,silicon_dioxide
1044,D02.241.511.372,hydroxamic_acids
1045,D03.383.606,piperazines
1046,D12.125.142.087,arginine
1047,E05.601.043,biosensing_techniques
1048,unknown,instrumentation
1049,L01.224.160,computer_simulation
1050,unknown,evolution
1051,G02.111.255.280,fluorescence_resonance_energy_transfer
1052,E05.642,optical_imaging
1053,D12.776.157.622,periplasmic_binding_proteins
1054,E05.393.420.601,protein_engineering
1055,A11.329.228.100.775.800,3t3-l1_cells
1056,A11.329.114,adipocytes
1057,unknown,brown
1058,G04.152.149,adipogenesis
1059,A10.165.114,adipose_tissue
1060,unknown,enhancer_elements
1061,G05.380,genotype
1062,unknown,129_strain
1063,unknown,knockout
1064,G11.427.578.590,muscle_development
1065,A11.872.620,myoblasts
1066,D12.776.930.612,nfi_transcription_factors
1067,D12.776.826.239.588,ppar_gamma
1068,G05.695,phenotype
1069,G05.360.340.024.340.030,alleles
1070,G05.113.220.781.050,anaphase
1071,D12.776.744.360,cdc2_protein_kinase
1072,D12.776.476.262.120,cyclin_b
1073,D12.776.624.776.355,cyclin-dependent_kinase_inhibitor_proteins
1074,D12.776.220,cytoskeletal_proteins
1075,D12.776.476.325.150,gtpase-activating_proteins
1076,unknown,fungal
1077,unknown,dominant
1078,D12.776.476.325.300,guanine_nucleotide_exchange_factors
1079,D12.776.220.600,microtubule_proteins
1080,D12.776.476.525,monomeric_gtp-binding_proteins
1081,D23.641,pheromones
1082,D08.811.277.352.650.775,protein_tyrosine_phosphatases
1083,D08.811.913.696.620.682.700,protein-serine-threonine_kinases
1084,D08.811.913.696.620.682.725,protein-tyrosine_kinases
1085,B01.300.930.705.655,saccharomyces_cerevisiae
1086,A11.284.430.214.190.750.820,spindle_apparatus
1087,J01.637.016,adhesives
1088,E06.095.170,cementation
1089,J01.637.051.919.367,cyanoacrylates
1090,D02.355.291.411,epoxy_compounds
1091,E05.320,equipment_design
1092,E07,equipment_and_supplies
1093,J01.637.412.700,polyurethanes
1094,E07.695,prostheses_and_implants
1095,J01.637.051.720.900.850,silicones
1096,D27.505.696.399.472.161,androgens
1097,D06.472.334.851,gonadal_steroid_hormones
1098,D10,lipids
1099,A10.336.827.600,meibomian_glands
1100,D13.695.827.068.236,adenosine_triphosphate
1101,unknown,chromosomal_proteins
1102,unknown,non-histone
1103,unknown,cytoplasmic_and_nuclear
1104,B01.300.930,yeasts
1105,N06.850.520.830.150,analysis_of_variance
1106,G07.100.049,body_composition
1107,G09.330.175,cardiovascular_deconditioning
1108,G04.140,cell_count
1109,G04.043,cellular_senescence
1110,A01.378.800.585,forearm
1111,unknown,blood_supply
1112,A15.378.316.378,hematopoietic_stem_cells
1113,D12.776.521,lipoproteins
1114,unknown,ldl
1115,G09.330.100.780,regional_blood_flow
1116,N06.850.520.445.762,sample_size
1117,D12.776.543.750.750.400.910.200,vascular_endothelial_growth_factor_receptor-2
1118,D27.505.954.122.136,antifungal_agents
1119,D27.505.519.389.200,carbonic_anhydrase_inhibitors
1120,D08.811.520.241.300.150,carbonic_anhydrases
1121,C17.800.838.208,dermatomycoses
1122,D12.776.354,fungal_proteins
1123,B01.300.930.574,malassezia
1124,E05.337.550.400,microbial_sensitivity_tests
1125,C17.800.738,scalp_dermatoses
1126,D02.886.590.700,sulfonamides
1127,D02.886.645.600,sulfonic_acids
1128,C14.907.585.250,coronary_disease
1129,unknown,drugs
1130,unknown,chinese_herbal
1131,E02.190.755,phytotherapy
1132,D08.811.520.224.187,deoxyribodipyrimidine_photo-lyase
1133,D23.767.405.650.249,flavin-adenine_dinucleotide
1134,D08.211.840,tetrahydrofolates
1135,B01.050.150.900.649.313.750.377.750.250.125,cats
1136,E05.242.363,cell_separation
1137,B01.050.150.900.649.313.750.600.216.200,dogs
1138,B01.050.150.900.649.313.988.400,haplorhini
1139,D23.469.050.175,eicosanoids
1140,G02.111.570.820,molecular_conformation
1141,unknown,cell_surface
1142,unknown,retinoic_acid
1143,D12.776.930.775.500,retinoid_x_receptors
1144,D23.767.261.700,retinoids
1145,unknown,non-small-cell_lung
1146,C08.785.520,lung_neoplasms
1147,E01.789.625,neoplasm_staging
1148,E01.789,prognosis
1149,D12.776.744.755,retinoblastoma-like_protein_p130
1150,M01.898.313,blood_donors
1151,A15.382.490.555.567.569.200,cd4-positive_t-lymphocytes
1152,C06.552.380.705.437,hepatitis_b
1153,E05.478.605,immunoprecipitation
1154,D23.529.374.465,interleukins
1155,D23.050.705.552.600,minor_histocompatibility_antigens
1156,G07.345.249.690,organ_size
1157,G01.910.675,photoperiod
1158,G08.686.784,reproduction
1159,A11.497.760,spermatozoa
1160,A06.407.312.782,testis
1161,unknown,pair_8
1162,G05.360.340.024.340.137.190,codon
1163,unknown,nonsense
1164,G05.180,consanguinity
1165,E05.393.760.700.300,dna_mutational_analysis
1166,unknown,recessive
1167,G05.380.360,haplotypes
1168,Z01.252.245.500.350,iran
1169,E05.393.673,pedigree
1170,D12.776.643.249,advanced_oxidation_protein_products
1171,N06.850.520.445.150,cross-over_studies
1172,E04.292.471.350,hemodiafiltration
1173,unknown,kidney_failure
1174,A15.145.693,plasma
1175,D03.633.100.150.909,vitamin_e
1176,D10.251.400.045,acetates
1177,D01.045,alkalies
1178,G02,chemical_phenomena
1179,G02.380,hydrolysis
1180,D02.092.146.325,p-dimethylaminoazobenzene
1181,B01.050.500.644.116,cephalopoda
1182,B01.050.500.644,mollusca
1183,C13.351.968.419.313,hyperoxaluria
1184,A05.810.453.736.560,kidney_tubules
1185,D12.776.543.653,nadph_oxidases
1186,C13.351.968.967.249,nephrolithiasis
1187,D02.886.645.600.055.850,taurine
1188,D12.776.930.127.061.937,activating_transcription_factor_4
1189,D08.811.464.259.200.200,aspartate-ammonia_ligase
1190,D12.125.142.308,histidine
1191,G02.111.570.820.709.275.500.520,leucine_zippers
1192,G05.558.800,sequence_deletion
1193,G11.427.560,muscle_strength
1194,unknown,muscle
1195,unknown,skeletal
1196,unknown,data_interpretation
1197,unknown,statistical
1198,G05.330,gene_frequency
1199,unknown,selection
1200,D02.455.426.559.389.127.020.937.640,4-aminobenzoic_acid
1201,D23.767.124,anthocyanins
1202,E02.095,biological_therapy
1203,C23.550.291.500,chronic_disease
1204,D26.310,drug_combinations
1205,F03.835.400,erectile_dysfunction
1206,D03.633.100.150.266.450.400,isoflavones
1207,C17.300.715,penile_induration
1208,A05.360.444.492,penis
1209,D20.215.721.500.762,propolis
1210,D02.092.471.683.953,verapamil
1211,D12.776.543.585.937.250,amino_acid_transport_system_x-ag
1212,D01.625.050,ammonia
1213,A11.650.200,astrocytes
1214,C10.228.140,brain_diseases
1215,unknown,metabolic
1216,D12.776.543.585.937.250.500.750,excitatory_amino_acid_transporter_2
1217,C23.550.421,hyperammonemia
1218,unknown,n-methyl-d-aspartate
1219,D02.948,urea
1220,D12.776.476.440.100,map_kinase_kinase_1
1221,D27.720.470.410.690,reducing_agents
1222,D01.875.800.800.850,sulfates
1223,unknown,blood_pressure_monitoring
1224,unknown,ambulatory
1225,D27.505.954.427.210,central_nervous_system_depressants
1226,G09.330.100.159,cerebrovascular_circulation
1227,A12.207.270.210,cerebrospinal_fluid
1228,D12.776.631.650,neuropeptides
1229,D12.776.631.650.363,orexins
1230,F01.700.875.700,psychomotor_agitation
1231,N06.850.520.308.980.438.475.364.500,severity_of_illness_index
1232,F03.870.400.800.800,sleep_initiation_and_maintenance_disorders
1233,D06.472.040.502,17-ketosteroids
1234,D04.210.500.054,androstanes
1235,D01.496.123,carbon_isotopes
1236,D06.472.040.585.478.392,hydrocortisone
1237,D08.811.682.047.436,hydroxysteroid_dehydrogenases
1238,D12.125.142.666,phenylalanine
1239,D04.210.500.745,pregnanes
1240,unknown,stimulation
1241,B03.510.460.410.810.768,streptomyces
1242,D03.383.742.698.875,uracil
1243,D27.720.470.410,indicators_and_reagents
1244,unknown,standards
1245,D02.241.081.337.593,oxalates
1246,D13.570.800.096,adenosine
1247,C23.550.767.877.500,myocardial_reperfusion_injury
1248,D02.886.489.472.369,cysteamine
1249,D12.125.166.230.369,cystine
1250,C18.452.648.595.377,cystinosis
1251,G07.690.773.968,drug_interactions
1252,D04.711.347,fluoresceins
1253,D10.251.355.310.166.100,arachidonic_acid
1254,D10.251.355.310.166,arachidonic_acids
1255,D23.529.812.169,bradykinin
1256,D03.633.100.221.173,calcimycin
1257,D23.469.050.175.725.550.500,epoprostenol
1258,G11.427.494.472,isometric_contraction
1259,G11.427.494.554,muscle_relaxation
1260,D01.625.400.100.325.550,nitroprusside
1261,D03.633.100.531.085.666,papaverine
1262,D09.853.196,dithiothreitol
1263,D08.811.913.696.620.300,hexokinase
1264,unknown,ultraviolet
1265,D02.691.850.900,trialkyltin_compounds
1266,D02.691.850.900.910,triethyltin_compounds
1267,D01.552.544.185,cobalt
1268,D12.776.765.678.500,concanavalin_a
1269,E05.301.300,electrophoresis
1270,unknown,polyacrylamide_gel
1271,D09.408,glycosides
1272,D01.552.547.500,magnesium
1273,D01.552.544.484,manganese
1274,H01.548,mathematics
1275,unknown,structural
1276,D02.092.146.113.092,acetanilides
1277,D03.383.129.539.850.077,aminopyrine
1278,G12.070,antibody_formation
1279,D04.615.799.306,benzopyrenes
1280,D03.633.100.150.446,coumarins
1281,D27.505.519.389.335,cytochrome_p-450_enzyme_inhibitors
1282,G03.219,dealkylation
1283,D03.383.231,dioxins
1284,G03.425,hydroxylation
1285,D08.811.682.608.191.500,nadph-ferrihemoprotein_reductase
1286,D03.633.300.786,polychlorinated_dibenzodioxins
1287,B01.650.940.800.575.912.250.618.100.060.250,dracaena
1288,A11.650.400,microglia
1289,G02.466,molecular_structure
1290,D23.704,phytochemicals
1291,unknown,resins
1292,C20.543.480.680.095,asthma
1293,D08.811.913.050.134,acetyltransferases
1294,G05.360.340.358.207.500.545,lac_operon
1295,B03.440.860.580.553.553,mycoplasma
1296,D01.695.625.675.650,phosphates
1297,D08.811.913.696,phosphotransferases
1298,C16.320.400.525.500,fragile_x_syndrome
1299,B03.660.250.150.180.100.360,escherichia_coli_k12
1300,D12.776.580.216,heat-shock_proteins
1301,G07.775.500,heat-shock_response
1302,L01.453.245.667.580,molecular_sequence_annotation
1303,D08.811.682.047.150.600,phosphogluconate_dehydrogenase
1304,unknown,alpha-helical
1305,G02.111.570.820.709.275.750.500,protein_interaction_domains_and_motifs
1306,G03.143.700,protein_transport
1307,H01.181.122.738.500,proteogenomics
1308,E05.196.566.880,tandem_mass_spectrometry
1309,G04.144.500.320,g1_phase
1310,G04.144.500.340,g2_phase
1311,D12.776.664.235.750.700,minichromosome_maintenance_complex_component_7
1312,D12.776.260.640,origin_recognition_complex
1313,A16.378,fetus
1314,D03.633.100.759.758.399.454,guanine
1315,D03.633.100.759.758.399.475,hypoxanthine
1316,D03.633.100.759.758.399,hypoxanthines
1317,A14.549.167.860.525,molar
1318,D10.251.618,mycophenolic_acid
1319,A14.549.167.900.720,tooth_germ
1320,D01.142,cadmium_compounds
1321,D02.355,ethers
1322,J01.637.512.600.612.350,fullerenes
1323,J01.637.512.600.612,nanospheres
1324,G02.712,particle_size
1325,J01.637.512.600.650,quantum_dots
1326,D01.810,selenium_compounds
1327,D02.092.782.258,diamines
1328,E02.319.300,drug_delivery_systems
1329,E05.393.350,gene_transfer_techniques
1330,D02.092.782,polyamines
1331,unknown,scattering
1332,G01.750,radiation
1333,D10.390,glycolipids
1334,D12.776.395,glycoproteins
1335,D10.251.640.630,myristic_acid
1336,D10.251.640,myristic_acids
1337,unknown,protein_processing
1338,unknown,post-translational
1339,B01.268.475.868.887.080,trypanosoma_brucei_brucei
1340,D13.570.685.725,tunicamycin
1341,unknown,variant_surface_glycoproteins
1342,B01.268.475.868.887,trypanosoma
1343,D12.776.835.725.868.500.750,eukaryotic_initiation_factor-4e
1344,D12.644.548.586.200.500.625,insulin
1345,D13.695.827.426.700,rna_caps
1346,D12.125.154.800,serine
1347,D02.540.505.760,sirolimus
1348,D12.125.154.900,threonine
1349,D02.241.511.536,mandelic_acids
1350,B03.660.250.580.590,pseudomonas
1351,G04.144,cell_cycle
1352,G05.370.180,chromosomal_instability
1353,D08.811.399.403,dna_topoisomerases
1354,unknown,type_ii
1355,G05.360.600,plasmids
1356,B01.300.107.795,saccharomycetales
1357,N06.850.520.830.996,stochastic_processes
1358,E05.481.500.249,cell_culture_techniques
1359,A11.436.275,endothelial_cells
1360,C18.452.394.952,hyperglycemia
1361,unknown,membrane_potential
1362,D08.811.682.664.500.772.750,nitric_oxide_synthase_type_iii
1363,D01.650.550.587,nitrogen_oxides
1364,A11.284.430.214.190.750.050,actin_cytoskeleton
1365,unknown,vesicular_transport
1366,A11.436.140,caco-2_cells
1367,G04.085,cell_communication
1368,G04.250,cell_polarity
1369,A11.284.149.165.420,intercellular_junctions
1370,A11.284.180.565,microvilli
1371,C17.800.621.430.530.550.625,peutz-jeghers_syndrome
1372,D12.776.543.940.900.500,zonula_occludens-1_protein
1373,D12.776.476.325.150.500.500,p120_gtpase_activating_protein
1374,A10.165.265,bone_and_bones
1375,unknown,crosses
1376,G08.686.784.170,embryonic_and_fetal_development
1377,C16.131.666.680,neural_tube_defects
1378,D12.776.664,nucleoproteins
1379,D12.776.930.780.890.100,polycomb_repressive_complex_1
1380,A11.872,stem_cells
1381,G02.111.570.580,conserved_sequence
1382,D12.776.476.262,cyclins
1383,A16.627,neural_crest
1384,A08.186.211.132.810,rhombencephalon
1385,A08.186.854,spinal_cord
1386,B01.050.150.900.090.180.610.500,xenopus
1387,D12.776.045.500,xenopus_proteins
1388,D02.886.645.600.080.050,arylsulfonates
1389,D02.886.645.600.080.050.100,benzenesulfonates
1390,D02.522,ketones
1391,G01.750.770.721.500,microwaves
1392,D03.633.100.810,quinolines
1393,D02.455.426.559.389.832,toluene
1394,B03.510.460.410.158.218.725,bacillus_subtilis
1395,G06.120,biofilms
1396,E05.393.300,dna_footprinting
1397,E05.196.401.500,electrophoretic_mobility_shift_assay
1398,D12.776.930.800,sigma_factor
1399,D12.776.476.062,amp-activated_protein_kinases
1400,E05.393.335,gene_targeting
1401,D10.251.355.310.166.550,hydroxyeicosatetraenoic_acids
1402,B04.820.650.589,lentivirus
1403,C23.888.942.750,proteinuria
1404,D12.776.624.664.700.168,proto-oncogene_proteins_c-akt
1405,D12.776.476.075.405.350.300,caspase_3
1406,C15.378.140.855,thrombocytopenia
1407,G07.690.725.015,absorption
1408,G07.690.725.129,biological_availability
1409,B01.050.500.131.365.190,decapoda_(crustacea)
1410,G10.261.330,eating
1411,A12.459,feces
1412,F02.463.425.540.772,retention_(psychology)
1413,J02.500.600.875.700,shellfish
1414,A11.436.334,hek293_cells
1415,A11.284.149.165.420.780,synapses
1416,D12.776.220.525.255,actins
1417,C19.246.099.875,diabetic_nephropathies
1418,A07.500,glomerular_filtration_barrier
1419,D12.776.476.300.500.500,glycogen_synthase_kinase_3_beta
1420,D01.510.500,lithium_chloride
1421,A11.436.720,podocytes
1422,unknown,small_interfering
1423,D08.811.682.690.708.125,catechol_oxidase
1424,J02.200.606,fruit_and_vegetable_juices
1425,G06.580,microbial_viability
1426,B01.650.940.800.575.912.250.859.937.500.764,rubus
1427,G01.750.770.776.891,ultrasonic_waves
1428,D08.811.682.732.512,horseradish_peroxidase
1429,D10.251.355.343.500.500,linoleic_acid
1430,D02.389.678,spin_labels
1431,D10.251.882,stearic_acids
1432,D03.633.100.759.758.824.877,uric_acid
1433,C17.800.862.150,behcet_syndrome
1434,C18.654.521.500.133.699.418,hyperhomocysteinemia
1435,D08.211.090.500,neopterin
1436,N06.850.520.445.800.650,predictive_value_of_tests
1437,C23.550.291.937,recurrence
1438,C07.465.864,stomatitis
1439,unknown,aphthous
1440,C14,cardiovascular_diseases
1441,A12.207.515,intracellular_fluid
1442,D27.505.954.248,antineoplastic_agents
1443,N06.850.520.830.750.450,logistic_models
1444,E02.186.450,neoadjuvant_therapy
1445,C17.800.090.500.788,triple_negative_breast_neoplasms
1446,C01.252.400.310.330,escherichia_coli_infections
1447,C18.452.584.500.500.396,hypercholesterolemia
1448,D08.811.682.732.700,peroxidase
1449,G04.128,cell_compartmentation
1450,E05.242.251,cell_fractionation
1451,A11.284.835.450.200,cytosol
1452,unknown,proximal
1453,G03.680,oxygen_consumption
1454,B01.050.150.900.649.313.500,artiodactyla
1455,H01.770.644.145,biomedical_research
1456,B01.050.150.900.649.313.750,carnivora
1457,B01.050.150.900.493,fishes
1458,D08.811.682.047.820.493,l-lactate_dehydrogenase
1459,J02.500.600.750,poultry
1460,B01.050.150.900.833,reptiles
1461,G03.796.550,oxidative_phosphorylation
1462,D03.383.725.676.925.875,pyridoxine
1463,N06.850.520.450.500.875,cross-sectional_studies
1464,Z01.058.290.190.565,nigeria
1465,E05.978.810,reference_values
1466,N06.850.505.400.850,sex_distribution
1467,D02.092.877.883.099,carnitine
1468,J01.637.087.500.510,lipid_bilayers
1469,B01.050.150.900.493.875.800,takifugu
1470,D04.210.500.221.430.873,taurocholic_acid
1471,D23.946.580.910,tetrodotoxin
1472,D02.455.426.559.389.127.085.067.100,p-aminohippuric_acid
1473,G07.690.773.937,down-regulation
1474,D23.529.850.325,glia_maturation_factor
1475,A17.360,hair
1476,N06.850.520.830.998.650,kaplan-meier_estimate
1477,D12.776.660.650.875.500,lamin_type_a
1478,D08.811.277.656.675.374,metalloendopeptidases
1479,unknown,ehrlich_tumor
1480,G04.175,cell_membrane_permeability
1481,D27.720.233,coloring_agents
1482,G02.734.466,freezing
1483,D02.047.532,glutaral
1484,E05.200.750,histological_techniques
1485,D01.552.544.660,osmium
1486,G02.640,osmolar_concentration
1487,D01.650.550,oxides
1488,D01.552.547.650,potassium
1489,E05.848,sonication
1490,E05.200.750.600.670,staining_and_labeling
