,abstract,date,pmid,title
208,"three groups of male, weanling, sprague dawley rats were fed diets containing 7% hydrogenated coconut oil, 6.6% hydrogenated coconut oil + 0.4% corn oil, or 7% corn oil for 8 17 weeks. these diets provided 0% (efad group), 0.5% (mefad group) or 5% (control group) of the total energy as linoleic acid, respectively. crude plasma membranes were prepared from heart and assayed for adenylate cyclase activity. both basal and fluoride stimulated activity was lower in the membranes from efad and mefad rats than that of the controls. the double bond index of total lipids and phospholipids, and fluorescence polarization of 1,6 diphenyl 1,3,5 hexatriene (dph) were not appreciably different in the membranes from the three dietary groups. the fatty acid composition of total phospholipids of the membranes, however, was quite different and indicative of biochemical changes typical of an efa deficiency. feeding of the control diet to the efad or mefad rats for up to 6 weeks did not alleviate completely the changes in adenylate cyclase activity although the fatty acid patterns were restored to the normal levels. there was also a decrease in the number of [3h] dha binding sites in heart of efad rats as compared with their controls. the results suggest that the changes induced by efa deficiency in the acyl group composition of membrane phospholipids and in the number of beta adrenergic receptors may be important in regulating adenylate cyclase activity in the heart.",1987,3625782,"Adenylate cyclase activity, membrane fluidity and fatty acid composition of rat heart in essential fatty acid deficiency."
209,"isopenicillin n synthase (ipns) is a non haem iron oxidase that catalyses the formation of bicyclic isopenicillin n from delta (l alpha aminoadipoyl) l cysteinyl d valine (acv). in this study we report a novel activity for the iron of the ipns active site, which behaves as a lewis acid to catalyse the elimination of hf from the fluorinated substrate analogue, delta (l alpha aminoadipoyl) l cysteinyl d beta fluorovaline (acbetafv). x ray crystallographic studies of ipns crystals grown anaerobically with acbetafv reveal that the valinyl beta fluorine is missing from the active site region, and suggest the presence of the unsaturated tripeptide delta (l alpha aminoadipoyl) l cysteinyl d isodehydrovaline in place of substrate acbetafv. (19)f nmr studies confirm the release of fluoride from acbetafv in the presence of the active ipns enzyme. these results suggest a new mode of reactivity for the ipns iron centre, a mechanism of action that has not previously been reported for any of the iron oxidase enzymes.",2004,15175003,Active-site-mediated elimination of hydrogen fluoride from a fluorinated substrate analogue by isopenicillin N synthase.
210,"synthesis of escherichia coli lpxl, which transfers a secondary laurate chain to the 2' position of lipid a, in yersinia pestis produced bisphosphoryl hexa acylated lipid a at 37°c, leading to significant attenuation of virulence. our previous observations also indicated that strain χ10015(pcd1ap) (δlpxp32::p(lpxl) lpxl) stimulated a strong inflammatory reaction but sickened mice before recovery and retained virulence via intranasal (i.n.) infection. the development of live, attenuated y. pestis vaccines may be facilitated by detoxification of its lipopolysaccharide (lps). heterologous expression of the lipid a 1 phosphatase, lpxe, from francisella tularensis in y. pestis yields predominantly 1 dephosphorylated lipid a, as confirmed by mass spectrometry. results indicated that expression of lpxe on top of lpxl provided no significant reduction in virulence of y. pestis in mice when it was administered i.n. but actually reduced the 50% lethal dose (ld(50)) by 3 orders of magnitude when the strain was administered subcutaneously (s.c.). additionally, lpxe synthesis in wild type y. pestis kim6+(pcd1ap) led to slight attenuation by s.c. inoculation but no virulence change by i.n. inoculation in mice. in contrast to salmonella enterica, expression of lpxe does not attenuate the virulence of y. pestis.",2013,23357387,Pathogenicity of Yersinia pestis synthesis of 1-dephosphorylated lipid A.
211,,1986,3022576,EMA and small cell anaplastic carcinomas: further evidence for an epithelial origin needed.
212,"to investigate the expression of nkg2d ligands on dendritic cells(dc) at different development stages and its effect on cytotoxicity of natural killer(nk) cells.
the monocytes were cultured into immature dendritic cells(idc) and mature dendritic cells(mdc) with cytokines. nk cells were obtained from normal peripheral blood by cd56 antibody magnetic isolation.the expression of nkg2d ligands (mica/b, ulbp1 3) was detected by flow cytometry. cytotoxicity of nk cells and the nk cells blocked with anti nkg2d mabs against idc and mdc was tested using ldh releasing method.
idc and mdc were of typical morphology and phenotypes. mica, micb, ulbp1, and ulbp3 were expressed on idc and their expression rate was (32.39+/ 8.30)%, (17.75+/ 3.40)%, (26.71+/ 6.48)%, (38.37+/ 6.89)%, respectively. mica and ulbp3 were expressed on mdc and their expression rate was (7.81+/ 3.33)% and (8.36+/ 2.42)%, respectively, which was lower than that on mdc (p<0.01). at the each e:t ratio cytotoxicity of nk cells against idc was stronger than that against mdc (p<0.01). cytotoxicity of nk cells blocked with anti nkg2d mab against idc was decreased compared with that of nk cells unblocked (p<0.05) while cytotoxicity of nk cells blocked with anti nkg2d mab against mdc showed no decrease compared with that of nk cells unblocked (p>0.05).
the expression of nkg2d ligands on idc is higher than that on mdc, which plays an important role in the cytotoxic effect of nk cells against idc, but has no effect on that against mdc. nkg2d nkg2d ligands shows one of the molecular mechanisms that nk cells kill idc selectively.",2008,18394338,[Expression of NKG2D ligands on dendritic cells at different development stages and its effect on cytotoxicity of NK cells].
213,"several nutritional studies have shown the in vivo conversion of the 9c, 12t 18:2 and 9t, 12c 18:2 into long chain polyunsaturated fatty acids (pufa) containing 20 carbons (geometrical isomers of eicosadienoic and eicosatetraenoic acids). in the present work, some in vitro studies were carried out in order to have precise information on the conversion of these two isomers. in a first set of experiments, studies were focused on the in vitro delta6 desaturation, the first regulatory step of the biosynthesis of n 6 long chain pufa, from 9c, 12c 18:2. rat liver microsomes were prepared and incubated under desaturation conditions with [1 14c] 9c, 12c 18:2 in presence of unlabelled 9c, 12t , 9t, 12c  or 9t, 12t 18:2. the data show that each trans isomer induced a decrease of the delta6 desaturation of the [1 14c] 9c, 12c 18:2, but the 9c, 12t 18:2 was the most potent inhibitor (up to 63%). rat liver microsomes were also incubated with [1 14c] 9c, 12c 18:2, [1 14c] 9c, 12t 18:2 or [1 14c] 9t, 12c 18:2 under desaturation conditions. the results indicated that 18:2 delta9c, 12t is a much better substrate for desaturase than 9t, 12c 18:2. moreover, the conversion levels of [1 14c] 9c, 12t 18:2 was similar to what was observed for its all cis homologue, at low substrate concentration only. in a second set of experiments, in vitro elongation studies of each mono trans 18:2 isomer and 9c, 12c 18:2 were carried out. for that purpose, rat liver microsomes were incubated with [1 14c] 9c, 12c 18:2, [1 14c] 9c, 12t 18:2 or [1 14c] 9t, 12c 18:2 underelongation conditions. the data show that [1 14c] 9t, 12c 18:2 is betterelongated than 9c, 12c 18:2 while the amount of product formed from [1 14c] 9c, 12t 18:2 was lower than was produced from the 9c, 12c 18:2. thus, the desaturation enzymes presented a higher affinity for the 9c, 12t 18:2 whereas the elongation enzyme presented a higher affinity for the 9t, 12c 18:2.",1998,9746207,In vitro desaturation or elongation of monotrans isomers of linoleic acid by rat liver microsomes.
214,, ,9123352,Hepatropic soluble vitamin E derivative EPC-K1 prevents warm ischemia/reperfusion injury of non-heart-beating donor liver transplantation in pigs.
215,"selenium (se) alleviates cadmium (cd) accumulation in several plants. nevertheless, it is still unclear why it has such effect. thus, this study aimed to investigate the effects of se on soil cd bioavailability, and cd accumulation in flooded rice plants, and to determine the mechanisms underlying these effects. concentration of cd and se in different rice tissues was determined along cd and se concentrations in the soil solution and soil cd fractions. results showed that exogenous selenite and selenate treatments significantly increased rice grain se by 4.25  and 2.39 fold and decreased cd by 36.5% and 25.3% relative to control treatment, respectively. the addition of se to cd contaminated soil significantly decreased total cd concentration in the soil solution by 11.2 13.0%, increased soil ph by 0.06 0.32 units, and enhanced soil cd immobilization in relation to control. exogenous se also reduced diethylenetriaminepentaacetic acid cd, exchangeable, and residual cd but increased the levels of cd bound to carbonate and iron and manganese oxides. thus, amending cd contaminated soil with se may help decrease cd content as well as increase se levels in rice grain, as se may mitigate cd accumulation in rice plants by increasing soil ph, reducing cd bioavailability, and inhibiting cd translocation from roots to shoots.",2018,30187416,Selenium application alters soil cadmium bioavailability and reduces its accumulation in rice grown in Cd-contaminated soil.
216,"conjugation reactions of glutathione (gsh) and related thiols with diethyl maleate (dem) and other alpha, beta unsaturated carbonyl compounds have been investigated by 1h nmr spectroscopy. the products from the reaction with dem and diethyl fumarate (def) are shown to be the diastereomers of s (alpha,beta diethoxycarbonylethyl)glutathione. during the course of the reaction, dem isomerized to def, and the rate of isomerization was dependent upon whether the solvent was 1h2o or 2h2o. the observed rate data exhibit apparent second order kinetic behavior. the reaction of maleate with gsh was considerably slower, and solvent dependent isomerization was observed, while little reaction of fumarate with gsh was observed at ph 6.5. reaction of dem with n acetyl l cysteine followed a similar course to that of gsh, and although l cysteine reacted rapidly with dem, it did not promote the isomerization of dem. reactions involving penicillamine and n acetylpenicillamine were considerably slower. conjugation reactions catalyzed by commercial gsh transferases and selected rat and human purified isoenzymes were also investigated. of those isoenzymes studied, rat gsh transferase 4 4 was found to exert the greatest degree of stereo control in conjugation reactions with def.", ,7548762,Investigations of glutathione conjugation in vitro by 1H NMR spectroscopy. Uncatalyzed and glutathione transferase-catalyzed reactions.
217,"autoimmune lymphoproliferative syndrome (alps) is caused by genetic defects decreasing fas function and is characterized by lymphadenopathy/splenomegaly and expansion of cd4/cd8 double negative t cells. this latter expansion is absent in the alps variant named dianzani autoimmune/lymphoproliferative disease (dald). in addition to the causative mutations, the genetic background influences alps and dald development. we previously suggested a disease modifying role for the perforin gene involved in familial hemophagocytic lymphohistiocytosis (fhl). the unc13d gene codes for munc13 4, which is involved in perforin secretion and fhl development, and thus, another candidate for a disease modifying role in alps and dald. in this work, we sequenced unc13d in 21 alps and 20 dald patients and compared these results with sequences obtained from 61 healthy subjects and 38 multiple sclerosis (ms) patients. we detected four rare missense variations in three heterozygous alps patients carrying p.cys112ser, p.val781ile, and a haplotype comprising both p.ile848leu and p.ala995pro. transfection of the mutant cdnas into hmc 1 cells showed that they decreased granule exocytosis, compared to the wild type construct. an additional rare missense variation, p.pro271ser, was detected in a healthy subject, but this variation did not decrease munc13 4 function. these data suggest that rare loss of function variations of und13d are risk factors for alps development. ",2013,23840885,Variations of the UNC13D gene in patients with autoimmune lymphoproliferative syndrome.
218,,1995,7477368,Toxic mutants in Charcot's sclerosis.
219,"the opaque 2 (o2) gene encodes a transcriptional activator of the basic region/leucine zipper family, which controls the synthesis of a major storage protein class in maize endosperm, the 22 kda alpha zeins, and of several other non zein polypeptides including b32. we demonstrate, by analysing o2 mrnas in different organs of maize plants, that the o2 gene is only active in the endosperm. its transcription is precisely controlled during seed development: o2 mrnas are first detected 10 days after pollination and accumulate in the endosperm over a period of 20 days. when introduced into tobacco plants, the o2 promoter directs the expression of the beta glucuronidase (gus) reporter gene in endosperm, but also in the embryo, cotyledons and pollen. the first 185 bp of the o2 promoter is sufficient for developmentally regulated expression in tobacco seeds. a distinct cis acting element, located between positions  185 and  520, directs expression in the cotyledons of tobacco seedlings. the possible origins of this breakdown in promoter specificity in the heterologous host are discussed.",1994,8078465,Differences in cell type-specific expression of the gene Opaque 2 in maize and transgenic tobacco.
220,"the hypoxia inducible factor 1 complex (hif 1) is involved in the transcriptional activation of several genes, like erythropoietin and vascular endothelial growth factor, that are responsive to the lack of oxygen. the hif 1 complex is composed of two b hlh proteins: hif 1beta that is constitutively expressed, and hif 1alpha, that is present only in hypoxic cells. the hif 1alpha subunit is continuously synthesized and degraded by the ubiquitin proteasome under oxic conditions. hypoxia, transition metals, iron chelators, and several antioxidants stabilize the hif 1alpha protein, allowing the formation of the transcriptionally active hif 1 complex. the mechanisms of oxygen sensing and the pathways leading to hif 1alpha stabilization are unclear. because the involvement of a heme protein oxygen sensor has been postulated, we tested the heme sensor hypothesis by using a luciferase expressing cell line (b 1), that is highly responsive to hypoxia. exposure of b 1 cells to carbon monoxide and heme synthesis inhibitors failed to show any effect on the hypoxia responsiveness of these cells, suggesting that heme proteins are not involved in hypoxia sensing. measurement of iron in recombinantly expressed hif 1alpha protein revealed that this protein binds iron in vivo. iron binding was localized to a 129 amino acid peptide between sequences 529 and 658 of the hif 1alpha protein. although the exact structure of the iron center has not been yet defined, a 2:1 metal/protein molar ratio suggests a di iron center, probably similar to the one found in hemerythrin. this finding is compatible with a model where redox reaction may occur directly in the iron center of the hif 1alpha subunit, affecting its survival in oxic conditions.",1998,9660756,Hypoxia-inducible factor 1alpha (HIF-1alpha) is a non-heme iron protein. Implications for oxygen sensing.
221,,1954,13229151,[Vitamin A and hypophysial gonadotropic function; experimental study].
222,"cultured adipocyte cell lines are a model system widely used to study adipose function, but they exhibit significant physiological differences compared with primary cells from adipose tissue. here we report short interfering rna based methodology to selectively attenuate gene expression in mouse and human primary adipose tissues as a means of rapidly validating findings made in cultured adipocyte cell lines. the method is exemplified by depletion of the pten phosphatase in white adipose tissue (wat) from mouse and humans, which increases akt phosphorylation as expected. this technology is also shown to silence genes in mouse brown adipose tissue. previous work revealed upregulation of the mitochondrial protein ucp1 in adipose cells from mice lacking the gene for the transcriptional corepressor rip140, whereas in cultured adipocytes, loss of rip140 has a little effect on ucp1 expression. application of our method to deplete rip140 in primary mouse wat elicited markedly increased oxygen consumption and expression of ucp1 that exactly mimics the phenotype observed in rip140 null mice. this ex vivo method of gene silencing should be useful in rapid validation studies as well as in addressing the depot  and species specific functions of genes in adipose biology.",2007,17093294,RNAi-based gene silencing in primary mouse and human adipose tissues.
223,"in the light of the recent hypothesis that one cause of pancreatic damage may be related to the toxic action of oxygen free radicals [braganza jm. the pathogenesis of pancreatitis. manchester: manchester university press; 1991; braganza jm. a framework for the aetiogenesis of chronic pancreatitis. digestion 1998;59(suppl. 4):1 12], we were prompted to assess the role of selenium in pancreatic disease.
the objective of the study was to establish whether or not there is any correlation between selenium levels and the degree of impairment of exocrine pancreatic function in patients suffering from chronic pancreatitis.
two groups of subjects were recruited, the first consisting of 38 patients with clinically quiescent chronic pancreatitis of alcoholic origin and the second of 48 control subjects selected from among healthy volunteers attending our transfusion centre.
body mass index, smoking and drinking habits were evaluated and selenium serum levels were assayed in all subjects. the patients with pancreatic disease were subdivided into three groups on the basis of lipase output assayed with a duodenal probe. results.: selenium serum levels in the chronic pancreatitis group as a whole were found to be significantly lower than in the control group, but when they were analysed in the three distinct subgroups, a significant difference was found against control group only in the groups with severe and moderate exocrine pancreatic insufficiency.
the mean serum selenium levels were lower in chronic pancreatitis patients than control.",2005,15975540,Serum selenium concentrations in chronic pancreatitis and controls.
224,"the carbonyl ene reaction of 2 methylenetetrahydropyrans provides a rapid, high yielding route for the preparation of β hydroxydihydropyrans under mild conditions. this process provides a new entry for the synthesis of 2 substituted tetrahydropyrans and for the direct introduction of oxygen heterocycles into molecular frameworks. ",2013,24215279,2-Methylenetetrahydropyrans: efficient partners in the carbonyl ene reaction.
225,"the use of antiseptics in wound care is often controversial and there is definitely a need for a non toxic, highly disinfective agent. this study assessed the efficacy of a neutral ph superoxidised aqueous solution (nphss) for infection control, odour reduction and surrounding skin and tissue damage on infected diabetic foot ulcerations. from november 2003 to march 2004, 45 patients with type 2 diabetes were randomised into a single blind clinical trial comparing nphss (intervention group; n = 21) versus conventional disinfectant (control group; n = 16). all patients received comprehensive care including surgical debridement as appropriate, moist wound care, intensive glucose control and broad spectrum antibiotics. treatment groups were matched in terms of sex, age (61.9 +/  11.9 versus 67.8 +/  11.6), years of diabetes duration (16.4 +/  8.1 versus 17 +/  10.2), obesity, hgalc (7.1 +/  2 versus 6.7 +/  1.8), initial fasting glycaemia (163 +/  59 versus 152 +/  65.8 mg/dl), ulcer duration/week (13.7 +/  24 versus 15.1 +/  16.3), b/a index (0.9 +/  0.5 versus 1.14 +/  0.7), depth and extent of infection/periwound cellulitis (groups b and c of the tampico hospital classification) as well as aetiology (p = 0.647). odour reduction was achieved in all nphss patients (100% versus 25%; p < 0.01) and surrounding cellulitis diminished (p < 0.001) in 17 patients (80.9% versus 43.7%). nineteen patients in the nphss group showed advancement to granulating tissue stage (90.4% versus 62.5%; p = 0.05) with significantly less tissue toxicity (94% versus 31.2%; p < 0.01). a non toxic, nphss, as part of a comprehensive care regimen, may be more efficacious in infection control, odour and erythema reduction than conventional disinfectants in treatment of diabetic foot infections.",2007,17953678,Efficacy and safety of neutral pH superoxidised solution in severe diabetic foot infections.
226,"formation of the heart is dependent on an intricate cascade of developmental decisions. analysis of the molecules and mechanisms involved in the specification of cardiac cell fates, differentiation and diversification of cardiac muscle cells, and morphogenesis and patterning of different cardiac cell types has revealed an evolutionarily conserved network of signaling pathways and transcription factors that underlies these processes. the regulatory network that controls the formation of the primitive heart in fruit flies has been elaborated upon to form the complex multichambered heart of mammals. we compare and contrast the mechanisms involved in heart formation in fruit flies and mammals in the context of a network of transcriptional interactions and point to unresolved questions for the future.",2002,12027431,Control of cardiac development by an evolutionarily conserved transcriptional network.
227,malondialdehyde (mda) levels in the serum were estimated by mda tba (thiobarbituric acid) spectro colorimetric assay method in 23 rheumatoid arthritis (ra) patients and were compared with those in 18 healthy subjects. it was found that the mean levels of mda (265.15 +/  68.8 n moles/100 ml) in patients with ra were found to be significantly elevated when compared to the mean of that of controls (128.76 +/  37.8 n moles/100 ml). this study reveals that mda assessment appears to be a sensitive marker of inflammation in this chronic auto immune disorder and would help in understanding the nature of inflammatory damage at a cellular level.,1994,7876045,Malondialdehyde as a sensitive marker of inflammation in patients with rheumatoid arthritis.
228,"ultraviolet (uv) radiation causes hemolysis of human erythrocytes in the presence of photosensitizers. this can be used as an in vitro model for evaluating photosensitizing properties of substances. antioxidants such as ascorbic acid (vitamin c) and d alpha tocopherol (vitamin e) have been found to be photoprotective in such test systems. we assessed the effect of combined systemic intake of both ascorbic acid and d alpha tocopherol by human volunteers on phototoxic in vitro lysis of their erythrocytes. in a double blind placebo controlled study, 10 subjects took daily 2 g ascorbic acid combined with 1000 iu d alpha tocopherol, and 10 took a placebo. blood was taken before and after 7 days of treatment, erythrocytes were prepared and then incubated with 10( 3) mol/l fenofibrate, a photosensitizer acting in the uva and uvb region. the suspensions were exposed to radiation rich in uva (up to 40 j/cm2 uva) or to radiation rich in uvb (up to 1.6 j/cm2). photohemolysis of the samples was calculated as a percentage of complete hemolysis. at the end of the treatment phase, in the placebo group photohemolysis was not significantly reduced compared with the initial values at all irradiation doses except for 1.6 j/cm2 uvb (96% vs 79%; p < 0.01). in the group taking vitamins, photohemolysis was significantly reduced at nearly all uv doses, most impressively after moderate uva irradiation (20 j/cm2 uva: 86.5% vs 14.5%; p < 0.01). it is concluded that the results of the photohemolysis test are influenced by the antioxidative status of the cell donor and that ascorbic acid and d alpha tocopherol also may protect against phototoxic damage in vivo.", ,9542752,Phototoxic lysis of erythrocytes from humans is reduced after oral intake of ascorbic acid and d-alpha-tocopherol.
229,"the availability of selenium and the levels of specific selenoproteins might affect cancer risk by influencing the ability of dna damaging agents to cause genomic instability and mutations. transgenic mice that express reduced levels of selenoproteins and previously shown to be more susceptible to pathology associated with cancer development were used to study this possibility. these mice were exposed to x rays and dna damage assessed in the erythrocytes, where micronuclei formation was higher compared to the same cells obtained from irradiated wild type controls. to determine whether the selenoprotein glutathione peroxidase 1 (gpx 1) might be involved in this protection, its levels were reduced by sirna targeting in lncap human prostate cells. uv induced micronuclei frequency was higher in these cells compared to control transfected cells. these results indicate a role for selenoproteins in protecting dna from damage and support human data implicating gpx 1 as a possible target of the chemoprotective effect of selenium.",2008,18720346,Selenoprotein deficiency enhances radiation-induced micronuclei formation.
230,"both monomeric and dimeric nadp+ dependent isocitrate dehydrogenase (idh) belong to the metal dependent beta decarboxylating dehydrogenase family and catalyze the oxidative decarboxylation from 2r,3s isocitrate to yield 2 oxoglutarate, co2, and nadph. it is important to solve the structures of idhs from various species to correlate with its function and evolutionary significance. so far, only two crystal structures of substrate/cofactor bound (isocitrate/nadp) nadp+ dependent monomeric idh from azotobacter vinelandii (avidh) have been solved. herein, we report for the first time the substrate/cofactor free structure of a monomeric nadp+ dependent idh from corynebacterium glutamicum (cgidh) in the presence of mg2+. the 1.75 a structure of cgidh mg2+ showed a distinct open conformation in contrast to the closed conformation of avidh isocitrate/nadp+ complexes. fluorescence studies on cgidh in the presence of isocitrate/or nadp+ suggest the presence of low energy barrier conformers. in cgidh, the amino acid residues corresponding to the escherichia coli idh phosphorylation loop are alpha helical compared with the more flexible random coil region in the e. coli protein where idh activation is controlled by phosphorylation. this more structured region supports the idea that activation of cgidh is not controlled by phosphorylation. monomeric nadp+ specific idhs have been identified from about 50 different bacterial species, such as proteobacteria, actinobacteria, and planctomycetes, whereas, dimeric nadp+ dependent idhs are diversified in both prokaryotes and eukaryotes. we have constructed a phylogenetic tree based on amino acid sequences of all bacterial monomeric nadp+ dependent idhs and also another one with specifically chosen species which either contains both monomeric and dimeric nadp+ dependent idhs or have monomeric nadp+ dependent, as well as nad+ dependent idhs. this is done to examine evolutionary relationships.",2006,16416443,Substrate-free structure of a monomeric NADP isocitrate dehydrogenase: an open conformation phylogenetic relationship of isocitrate dehydrogenase.
231,,2003,14574317,"Hematology of malnutrition, part one."
232,"considering that guanidine based derivatives are good dna minor groove binders, we have theoretically studied, using the polarizable continuum model mimicking water solvation, the complexes formed by the biologically relevant guanidinium cation and the dna and rna nucleobases (adenine, guanine, cytosine, thymine, and uracil). the interactions established within these complexes both by hydrogen bonds and by cation π interactions have been analyzed by means of the atoms in molecules and natural bond orbital approaches. moreover, maps of electron density difference have been produced to understand the cation π complexes. finally, the nics and three dimensional nics maps of the cation π complexes have been studied to understand the effect of the guanidinium cation on the aromaticity of the nucleobases. ",2013,23992551,Non-covalent interactions: complexes of guanidinium with DNA and RNA nucleobases.
233,"ovariectomy in rats induces the activation of lipid peroxidation processes, reduces total lipid content, and decreases the accumulation of lysophospholipids in erythrocyte membranes. the administration of maackia amurensis extract (200 mg/kg, p.o., during 14 days) reduces the level of lipid peroxidation, prevents a decrease in the total lipid content, normalizes the proportion of lipids and proteins, and eliminates the accumulation of lysophospholipids in erythrocyte membranes in ovariectomized rats.", ,19140512,[Effects of Maackia amurensis extract on the lipid spectrum and lipid peroxidation in erythrocyte membranes of ovariectomized rats].
234,"aldehyde dehydrogenase 1 (aldh1) is widely used as a specific cancer stem cell marker in a variety of cancers, and may become a promising target for cancer therapy. however, the role of its expression in tumor cells and the microenvironment in different cancers is still controversial.
to clarify the clinicopathological effect of aldh1 expression in ovarian carcinoma, a series of 248 cases of paraffin embedded formalin fixed ovarian carcinoma tissues with long term follow up information were studied by immunohistochemistry.
the immunostaining of aldh1was variably detected in both tumor cells and the stromal cells, although the staining in tumor cells was not as strong as that in stromal cells. statistical analyses showed that high aldh1 expression in tumor cells was significantly associated with histological subtypes, early figo stage, well differentiation grade and better survival probability (p < 0.05). the expression of aldh1 in the stromal cells had no clinicopathological associations in the present study (p > 0.05).
high expression of cancer stem cell marker aldh1 in ovarian carcinoma cells may thus portend a favorable prognosis, but its expression in tumor microenvironment may have no role in tumor behavior of ovarian carcinomas. more studies are warranted to find out the mechanisms for this.",2015,26148881,The expression of aldehyde dehydrogenase 1 (ALDH1) in ovarian carcinomas and its clinicopathological associations: a retrospective study.
235,"telomeres are specialized structures that protect chromosome ends from degradation and fusion events. in most organisms, telomeres consist of short, repetitive g rich sequences added to chromosome ends by a reverse transcriptase with an internal rna template, called telomerase. specific dna binding protein complexes associate with telomeric sequences preventing chromosome ends from being recognized as dna double strand breaks (dsbs). telomeres that lose their cap activate the dna damage response (ddr) likewise dsbs and, if inappropriately repaired, generate telomeric fusions, which eventually lead to genome instability. in drosophila there is not telomerase, and telomere length is maintained by transposition of three specialized retroelements. however, fly telomeres are protected by multi protein complexes like their yeast and vertebrate counterparts; these complexes bind chromosome ends in a sequence independent fashion and are required to prevent checkpoint activation and end to end fusion. uncapped drosophila telomeres elicit a ddr just as dysfunctional human telomeres. most interestingly, uncapped drosophila telomeres also activate the spindle assembly checkpoint (sac) by recruiting the sac kinase bubr1. bubr1 accumulations at chromosome ends trigger the sac that inhibits the metaphase to anaphase transition. these findings, reviewed here, highlight an intriguing and unsuspected connection between telomeres and cell cycle regulation, providing a clue to understand human telomere function.",2009,19270525,Drosophila cell cycle under arrest: uncapped telomeres plead guilty.
236,"although membrane sh groups are thought to be targets of oxidative insults, no measurement of lens epithelial membrane sh groups following exposure to potentially damaging oxidants has been reported. here we investigate the effect of hydrogen peroxide, an oxidant found in the aqueous humor, and of p chloromercuriphenylsulfonic acid (p chloromecuribenzene sulfonic acid) (pcmbs), a relatively impermeant sulfhydryl probe, on membrane sh groups and ion homeostasis in cultured lens epithelial cells. exposure to pcmbs caused a 10% loss of membrane sh groups, an increase in sodium and calcium levels, and a decrease in potassium, but did not affect the intracellular level of glutathione (gsh). after 5 min of exposure to an initial concentration of 1.0 mm hydrogen peroxide, gsh declined from 14.1 mm to 3 mm, there was a 20% loss of membrane sh groups and within 1 hr, potassium declined from 132 to 116 mm. cells that were exposed to 0.1 or 0.5 mm peroxide did not exhibit significant loss of membrane sh groups and did not show a decrease in gsh comparable to that found in cells treated with 1 mm peroxide. the peroxide induced loss of membrane sh groups and subsequent change in ion homeostasis occurred only when there was a rapid and sustained loss of intracellular glutathione. thus lens epithelial cell membrane sh groups are not only important in ion regulation but are targets of hydrogen peroxide when the intracellular level of gsh is significantly diminished.",1989,2538404,Susceptibility of lens epithelial membrane SH groups to hydrogen peroxide.
237,"the patterning and morphogenesis of multicellular organisms require a complex interplay of inductive signals which control proliferation, growth arrest, and differentiation of different cell types. a number of such signaling molecules have been identified in vertebrates and invertebrates. the molecular dissection of these pathways demonstrated that in vertebrates, mutations or abnormals function of these signaling pathways were often associated with developmental disorders and cancer formation. the hedgehog (hh) family of secreted proteins provides a perfect example of such signaling proteins. in the following review, we will not discuss in detail the role of hh as a morphogen, but rather focus on its signal transduction pathway and its role in various human disorders.",1999,10579908,Hedgehog signal transduction: from flies to vertebrates.
238,"to examine their responsiveness to norepinephrine (ne) and acetylcholine (ach), outer medullary descending vasa recta (omdvr) have been dissected from vascular bundles of the rat and perfused in vitro. abluminal application of ne produced graded vasoconstriction in a concentration range of 10( 9) 10( 6) m. when applied with ne, ach at concentrations of 10( 8) 10( 5) m dilated ne preconstricted omdvr. in contrast, ach applied in the absence of ne caused vasoconstriction. ach induced vasodilation was blocked by addition of the nitric oxide synthase inhibitor n omega nitro l arginine (l nna, 2 x 10( 4) m). l nna in the absence of ach enhanced ne induced vasoconstriction. supraphysiological (10( 3) m) l arginine (l arg) reversed the effects of l nna, and abluminal application of l nna alone resulted in omdvr vasoconstriction. at concentrations of 10( 6) 10( 3) m, abluminal application of l arg produced graded vasodilation of ne constricted omdvr. these results suggest that adrenergic and cholinergic innervation could influence omdvr vasomotor tone to modulate total and regional blood flow to the renal medulla. the data also favor a role for the activity of constitutively expressed nitric oxide synthase to modulate omdvr vasoactivity.",1995,7653636,Effect of norepinephrine and acetylcholine on outer medullary descending vasa recta.
239,"the photosynthetic bacterium, rhodospirillum rubrum s1, when grown under anaerobic conditions, generated three different types of catalases. in this study, we purified and characterized the highest molecular weight catalase from the three catalases. the total specific catalase activity of the crude cell extracts was 88 u/mg. after the completion of the final purification step, the specific activity of the purified catalase was 1,256 u/mg. the purified catalase evidenced an estimated molecular mass of 318 kda, consisting of four identical subunits, each of 79 kda. the purified enzyme exhibited an apparent km value of 30.4 mm and a vmax of 2,564 u against hydrogen peroxide. the enzyme also exhibited a broad optimal ph (5.0 9.0), and remained stable over a broad temperature range (20 degrees c 60 degrees c). it maintained 90% activity against organic solvents (ethanol/chloroform) known hydroperoxidase inhibitors, and exhibited no detectable peroxidase activity. the catalase activity of the purified enzyme was reduced to 19% of full activity as the result of the administration of 10 mm 3 amino 1,2,4 triazole, a heme containing catalase inhibitor. sodium cyanide, sodium azide, and hydroxylamine, all of which are known heme protein inhibitors, inhibited catalase activity by 50% at concentrations of 11.5 microm, 0.52 microm, and 0.11 microm, respectively. in accordance with these findings, the enzyme was identified as a type of monofunctional catalase.",2006,16728955,Purification and characterization of a catalase from photosynthetic bacterium Rhodospirillum rubrum S1 grown under anaerobic conditions.
